College Name,Courses,2022,2023,2024
National Institute of Technology Durgapur ,Electrical Engineering,18250,17700,17545
National Institute of Technology Durgapur ,Mechanical Engineering,26009,25931,25921
National Institute of Technology Durgapur ,Electronics and Communication Engineering,12417,12624,11921
National Institute of Technology Durgapur ,Chemical Engineering,29294,31123,29472
National Institute of Technology Agartala ,Computer Science Enginnering,16694,16987,18050
National Institute of Technology Agartala ,Electrical Engineering,32958,32095,32866
National Institute of Technology Agartala ,Mechanical Engineering,37926,37248,38755
National Institute of Technology Agartala ,Electronics and Communication Engineering,32754,25045,25576
National Institute of Technology Agartala ,Chemical Engineering,42382,41102,42391
Indian Institution of Information Tecnology Delhi,Computer Science Enginnering,8455,9195,10231
Indian Institution of Information Tecnology Delhi,Electrical Engineering,,,
Indian Institution of Information Tecnology Delhi,Mechanical Engineering,,,
Indian Institution of Information Tecnology Delhi,Electronics and Communication Engineering,17527,17948,19404
Indian Institution of Information Tecnology Delhi,Chemical Engineering,,,
Indian Institute of Technology Hyderabad ,Computer Science Enginnering,455,839,866
Indian Institute of Technology Hyderabad ,Electrical Engineering,,,
Indian Institute of Technology Hyderabad ,Mechanical Engineering,,,
Indian Institute of Technology Hyderabad ,Electronics and Communication Engineering,1005,2211,2136
Indian Institute of Technology Hyderabad ,Chemical Engineering,,,
Indian Institute of Information Technology Allahabad ,Computer Science Enginnering,4573,4817,4778
Indian Institute of Information Technology Allahabad ,Electrical Engineering,,,
Indian Institute of Information Technology Allahabad ,Mechanical Engineering,,,
Indian Institute of Information Technology Allahabad ,Electronics and Communication Engineering,8178,8428,7355
Indian Institute of Information Technology Allahabad ,Chemical Engineering,,,
Indian Institute of Information Technology Guwahati,Computer Science Enginnering,17500,18011,18183
Indian Institute of Information Technology Guwahati,Electrical Engineering,,,
Indian Institute of Information Technology Guwahati,Mechanical Engineering,,,
Indian Institute of Information Technology Guwahati,Electronics and Communication Engineering,26358,25806,24176
Indian Institute of Information Technology Guwahati,Chemical Engineering,,,
Atal Bihari Vajpayee Indian Institute of Information Technology and Management Gwalior,Computer Science Enginnering,5932,6995,7166
Atal Bihari Vajpayee Indian Institute of Information Technology and Management Gwalior,Electrical Engineering,15225,15923,15709
